counter_id;MAE;RMSE;Trafic_Moyen;Erreur_%
urn:ngsi-ld:EcoCounter:X2H22043035;8.88;14.4;21.0;41.9
urn:ngsi-ld:EcoCounter:X2H21070349;28.54;42.31;67.0;42.7
urn:ngsi-ld:EcoCounter:X2H22043033;32.54;52.4;74.0;44.2
urn:ngsi-ld:EcoCounter:X2H19070220;23.25;36.88;53.0;44.2
urn:ngsi-ld:EcoCounter:X2H20042635;12.52;19.97;28.0;44.5
urn:ngsi-ld:EcoCounter:XTH19101158;41.64;82.28;90.0;46.1
urn:ngsi-ld:EcoCounter:X2H22104775;5.87;9.8;12.0;49.1
urn:ngsi-ld:EcoCounter:X2H21070346;4.67;7.32;9.0;49.7
urn:ngsi-ld:EcoCounter:X2H22104766;6.13;9.55;12.0;51.3
urn:ngsi-ld:EcoCounter:X2H22104777;38.35;70.58;70.0;55.0
urn:ngsi-ld:EcoCounter:X2H22043030;9.51;15.97;14.0;66.3
urn:ngsi-ld:EcoCounter:X2H22104771;3.86;6.74;6.0;67.1
urn:ngsi-ld:EcoCounter:X2H21070342;21.45;108.23;31.0;70.0
urn:ngsi-ld:EcoCounter:X2H22104772;13.15;35.34;16.0;80.6
urn:ngsi-ld:EcoCounter:X2H21070343;1.58;2.7;2.0;86.5
urn:ngsi-ld:EcoCounter:X2H21070348;33.44;169.17;31.0;107.2
urn:ngsi-ld:EcoCounter:X2H20063164;4.86;27.95;4.0;126.1
urn:ngsi-ld:EcoCounter:X2H21070350;32.3;119.48;21.0;155.0
